date, pm25, o3, no2, so2, co
2022/3/31, 53, 57, 6, 1, 12
2022/4/1, 81, 48, 5, , 12
2021/10/2, 15, 30, 2, , 12
2021/10/3, 24, 36, 2, , 13
2021/10/4, 40, 41, 3, , 14
2021/10/5, 48, 44, 2, , 15
2021/10/6, 38, 47, 3, , 16
2021/10/7, 37, 53, 4, , 17
2021/10/8, 45, 54, 4, , 10
2021/10/9, 52, 58, 3, , 7
2021/10/10, 48, 31, 2, , 6
2021/10/11, 24, 34, 3, , 7
2021/10/12, 27, 42, 3, , 7
2021/10/13, 41, 35, 3, , 8
2021/10/14, 33, 39, 3, , 8
2021/10/15, 42, 45, 4, , 9
2021/10/16, 56, 41, 4, , 9
2021/10/17, 62, 42, 3, , 9
2021/10/18, 44, 55, 5, , 10
2021/10/19, 45, 43, 4, , 11
2021/10/20, 44, 42, 4, , 11
2021/10/21, 49, 49, 3, , 10
2021/10/22, 41, 49, 4, , 11
2021/10/23, 41, 30, 2, , 11
2021/10/24, 29, 25, 2, , 12
2021/10/25, 13, 25, 4, , 14
2021/10/26, 31, 32, 3, , 14
2021/10/27, 37, 28, 3, , 14
2021/10/28, 24, 31, 5, 1, 14
2021/10/29, 41, 42, 3, 1, 14
2021/10/30, 29, 50, 2, , 15
2021/10/31, 45, 44, 2, , 16
2021/11/1, 56, 45, 3, , 15
2021/11/2, 36, 59, 2, 1, 16
2021/11/3, 56, 55, 3, , 16
2021/11/4, 60, 52, 4, , 17
2021/11/5, 67, 63, 4, , 17
2021/11/6, 68, 65, 4, 1, 17
2021/11/7, 57, 49, 3, 1, 17
2021/11/8, 45, 54, 3, 1, 17
2021/11/9, 44, 68, 4, 1, 18
2021/11/10, 56, 41, 3, , 17
2021/11/11, 42, 51, 4, 1, 19
2021/11/12, 70, 63, 6, 1, 19
2021/11/13, 73, 59, 4, 1, 19
2021/11/14, 70, 57, 4, , 19
2021/11/15, 50, 62, 5, 1, 20
2021/11/16, 69, 64, 5, 1, 21
2021/11/17, 77, 52, 5, 1, 21
2021/11/18, 61, 47, 5, , 21
2021/11/19, 60, 69, 5, 1, 21
2021/11/20, 71, 65, 6, 1, 22
2021/11/21, 62, 49, 5, 2, 22
2021/11/22, 58, 59, 4, 1, 22
2021/11/23, 66, 50, 6, 1, 23
2021/11/24, 67, 38, 5, , 22
2021/11/25, 51, 49, 6, 1, 24
