date, pm25, o3, no2, so2, co
2021/8/30, 65, 9, , , 
2021/8/31, 77, 9, , , 
2021/9/1, 89, 9, , , 
2021/9/2, 82, 9, , , 
2021/9/3, 95, 11, , 1, 
2021/9/4, 81, 11, , , 
2021/9/5, 50, 10, , , 
2021/9/6, 76, 7, , , 
2021/9/7, 61, 8, , , 
2021/9/8, 66, 5, , , 
2021/9/9, 75, , , , 
2021/9/10, 71, 11, , , 
2021/9/11, 73, 9, , , 
2021/9/12, 54, , , , 
2021/9/13, 87, 10, , , 
2021/9/14, 57, 10, , , 
2021/9/15, 63, 9, , , 
2021/9/16, 69, 11, , , 
2021/9/17, 68, 9, , , 
2021/9/18, 67, 8, , , 
2021/9/19, 79, 13, , , 
2021/9/20, 95, 7, , , 
2021/9/21, 84, 5, , , 
2021/9/22, 77, 5, , , 
2021/9/23, 60, 5, , 1, 
2021/9/24, 54, 15, , , 4
2021/9/25, 51, 12, , , 4
2021/9/26, 27, 12, , , 3
2021/9/27, 54, 12, , , 3
2021/9/28, 59, 13, , 1, 2
2021/9/29, 43, 16, , , 2
2021/9/30, 44, 12, , 1, 1
2021/10/1, 51, 12, , 1, 1
2021/4/2, 55, 23, , , 7
2021/4/3, 36, 23, , , 7
2021/4/4, 41, 21, , , 7
2021/4/5, 34, 20, , , 8
2021/4/6, 49, 19, , , 8
2021/4/7, 44, 15, , , 8
2021/4/8, 44, 13, , , 7
2021/4/9, 49, 12, , , 7
2021/4/10, 45, 15, , , 7
2021/4/11, 64, 15, , , 7
2021/4/12, 65, 14, , , 7
2021/4/13, 50, 12, , 1, 7
2021/4/14, 59, 15, , , 7
2021/4/15, 46, 16, , , 8
2021/4/16, 71, 17, , , 9
2021/4/17, 53, 17, , , 9
2021/4/18, 59, 13, , , 9
2021/4/19, 59, 16, , , 8
2021/4/20, 68, 16, , , 9
2021/4/21, 61, 15, , , 9
2021/4/22, 58, 10, , , 9
2021/4/23, 59, 11, , , 9
2021/4/24, 61, 13, , , 8
2021/4/25, 60, 14, , , 8
2021/4/26, 63, 14, , , 9
2021/4/27, 55, 12, , , 9
2021/4/28, 51, 14, , , 9
2021/4/29, 60, 17, , , 9
2021/4/30, 61, 15, , , 9
2021/5/1, 56, 14, , , 9
2021/5/2, 47, 19, , , 9
2021/5/3, 92, 20, , , 10
2021/5/4, 70, 18, , , 10
2021/5/5, 53, 15, , , 10
2021/5/6, 71, 20, , , 11
